Infinitive,подмени́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подмени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подменённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подмени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подмени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подменю́
2nd Sing,подме́нишь
3rd Sing,подме́нит
1st Pl,подме́ним
2nd Pl,подме́ните
3rd Pl,подме́нят
Past M,подмени́л
Past F,подмени́ла
Past N,подмени́ло
Past PL,подмени́ли
Imp S,подмени́
Imp PL,подмени́те
