Infinitive,пое́здить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пое́здивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пое́здив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пое́здивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пое́зжу
2nd Sing,пое́здишь
3rd Sing,пое́здит
1st Pl,пое́здим
2nd Pl,пое́здите
3rd Pl,пое́здят
Past M,пое́здил
Past F,пое́здила
Past N,пое́здило
Past PL,пое́здили
Imp S,пое́зди
Imp PL,пое́здите
