Infinitive,пожела́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пожела́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожела́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пожела́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пожела́ю
2nd Sing,пожела́ешь
3rd Sing,пожела́ет
1st Pl,пожела́ем
2nd Pl,пожела́ете
3rd Pl,пожела́ют
Past M,пожела́л
Past F,пожела́ла
Past N,пожела́ло
Past PL,пожела́ли
Imp S,пожела́й
Imp PL,пожела́йте
