Infinitive,посули́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посули́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посулённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посули́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посули́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посулю́
2nd Sing,посули́шь
3rd Sing,посули́т
1st Pl,посули́м
2nd Pl,посули́те
3rd Pl,посуля́т
Past M,посули́л
Past F,посули́ла
Past N,посули́ло
Past PL,посули́ли
Imp S,посули́
Imp PL,посули́те
