Infinitive,побри́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,побри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побри́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,побри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,побри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,побре́ю
2nd Sing,побре́ешь
3rd Sing,побре́ет
1st Pl,побре́ем
2nd Pl,побре́ете
3rd Pl,побре́ют
Past M,побри́л
Past F,побри́ла
Past N,побри́ло
Past PL,побри́ли
Imp S,побре́й
Imp PL,побре́йте
