Infinitive,подве́ргнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подве́ргший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,подве́ргнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подве́ргнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,подве́ргнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подве́ргши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подве́ргну
2nd Sing,подве́ргнешь
3rd Sing,подве́ргнет
1st Pl,подве́ргнем
2nd Pl,подве́ргнете
3rd Pl,подве́ргнут
Past M,подве́рг
Past F,подве́ргла
Past N,подве́ргло
Past PL,подве́ргли
Imp S,подве́ргни
Imp PL,подве́ргните
