Infinitive,потрясти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потря́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потрясённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потря́сши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потрясу́
2nd Sing,потрясёшь
3rd Sing,потрясёт
1st Pl,потрясём
2nd Pl,потрясёте
3rd Pl,потрясу́т
Past M,потря́с
Past F,потрясла́
Past N,потрясло́
Past PL,потрясли́
Imp S,потряси́
Imp PL,потряси́те
