Infinitive,подже́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поджёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подожжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поджёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подожгу́
2nd Sing,подожжёшь
3rd Sing,подожжёт
1st Pl,подожжём
2nd Pl,подожжёте
3rd Pl,подожгу́т
Past M,поджёг
Past F,подожгла́
Past N,подожгло́
Past PL,подожгли́
Imp S,подожги́
Imp PL,подожги́те
