Infinitive,подполза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подполза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подполза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подполза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подполза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подполза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подполза́ю
2nd Sing,подполза́ешь
3rd Sing,подполза́ет
1st Pl,подполза́ем
2nd Pl,подполза́ете
3rd Pl,подполза́ют
Past M,подполза́л
Past F,подполза́ла
Past N,подполза́ло
Past PL,подполза́ли
Imp S,подполза́й
Imp PL,подполза́йте
