Infinitive,подпуска́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подпуска́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпуска́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпуска́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подпуска́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подпуска́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подпуска́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подпуска́ю
2nd Sing,подпуска́ешь
3rd Sing,подпуска́ет
1st Pl,подпуска́ем
2nd Pl,подпуска́ете
3rd Pl,подпуска́ют
Past M,подпуска́л
Past F,подпуска́ла
Past N,подпуска́ло
Past PL,подпуска́ли
Imp S,подпуска́й
Imp PL,подпуска́йте
