Infinitive,постро́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,постро́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постро́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,постро́юсь
2nd Sing,постро́ишься
3rd Sing,постро́ится
1st Pl,постро́имся
2nd Pl,постро́итесь
3rd Pl,постро́ятся
Past M,постро́ился
Past F,постро́илась
Past N,постро́илось
Past PL,постро́ились
Imp S,постро́йся
Imp PL,постро́йтесь
