Infinitive,подня́ться
Zaliznyak Class,14c/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подниму́сь
2nd Sing,подни́мешься
3rd Sing,подни́мется
1st Pl,подни́мемся
2nd Pl,подни́метесь
3rd Pl,подни́мутся
Past M,подня́лся
Past F,подняла́сь
Past N,подняло́сь
Past PL,подняли́сь
Imp S,подними́сь
Imp PL,подними́тесь
