Infinitive,пола́комиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пола́комившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пола́комившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пола́комлюсь
2nd Sing,пола́комишься
3rd Sing,пола́комится
1st Pl,пола́комимся
2nd Pl,пола́комитесь
3rd Pl,пола́комятся
Past M,пола́комился
Past F,пола́комилась
Past N,пола́комилось
Past PL,пола́комились
Imp S,пола́комься
Imp PL,пола́комьтесь
