Infinitive,повы́ситься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повы́сившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повы́сившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,повы́шусь
2nd Sing,повы́сишься
3rd Sing,повы́сится
1st Pl,повы́симся
2nd Pl,повы́ситесь
3rd Pl,повы́сятся
Past M,повы́сился
Past F,повы́силась
Past N,повы́силось
Past PL,повы́сились
Imp S,повы́сься
Imp PL,повы́сьтесь
