Infinitive,побере́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поберёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побережённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поберёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поберегу́
2nd Sing,побережёшь
3rd Sing,побережёт
1st Pl,побережём
2nd Pl,побережёте
3rd Pl,поберегу́т
Past M,поберёг
Past F,поберегла́
Past N,поберегло́
Past PL,поберегли́
Imp S,побереги́
Imp PL,побереги́те
