Infinitive,поста́нывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поста́нывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поста́нывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поста́нывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поста́нывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поста́нывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поста́нываю
2nd Sing,поста́нываешь
3rd Sing,поста́нывает
1st Pl,поста́нываем
2nd Pl,поста́нываете
3rd Pl,поста́нывают
Past M,поста́нывал
Past F,поста́нывала
Past N,поста́нывало
Past PL,поста́нывали
Imp S,поста́нывай
Imp PL,поста́нывайте
