Infinitive,повремени́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повремени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повремени́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повремени́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повременю́
2nd Sing,повремени́шь
3rd Sing,повремени́т
1st Pl,повремени́м
2nd Pl,повремени́те
3rd Pl,повременя́т
Past M,повремени́л
Past F,повремени́ла
Past N,повремени́ло
Past PL,повремени́ли
Imp S,повремени́
Imp PL,повремени́те
