Infinitive,поза́втракать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поза́втракавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поза́втракав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поза́втракавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поза́втракаю
2nd Sing,поза́втракаешь
3rd Sing,поза́втракает
1st Pl,поза́втракаем
2nd Pl,поза́втракаете
3rd Pl,поза́втракают
Past M,поза́втракал
Past F,поза́втракала
Past N,поза́втракало
Past PL,поза́втракали
Imp S,поза́втракай
Imp PL,поза́втракайте
