Infinitive,попа́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попа́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,попа́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попа́хивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,попа́хивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,попа́хивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,попа́хиваю
2nd Sing,попа́хиваешь
3rd Sing,попа́хивает
1st Pl,попа́хиваем
2nd Pl,попа́хиваете
3rd Pl,попа́хивают
Past M,попа́хивал
Past F,попа́хивала
Past N,попа́хивало
Past PL,попа́хивали
Imp S,попа́хивай
Imp PL,попа́хивайте
