Infinitive,похи́тить
Zaliznyak Class,4a(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,похи́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похи́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,похи́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,похи́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,похи́щу
2nd Sing,похи́тишь
3rd Sing,похи́тит
1st Pl,похи́тим
2nd Pl,похи́тите
3rd Pl,похи́тят
Past M,похи́тил
Past F,похи́тила
Past N,похи́тило
Past PL,похи́тили
Imp S,похи́ть
Imp PL,похи́тьте
