Infinitive,порекомендова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,порекомендова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,порекомендо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,порекомендова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,порекомендова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,порекоменду́ю
2nd Sing,порекоменду́ешь
3rd Sing,порекоменду́ет
1st Pl,порекоменду́ем
2nd Pl,порекоменду́ете
3rd Pl,порекоменду́ют
Past M,порекомендова́л
Past F,порекомендова́ла
Past N,порекомендова́ло
Past PL,порекомендова́ли
Imp S,порекоменду́й
Imp PL,порекоменду́йте
