Infinitive,поступа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поступа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поступа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поступа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поступа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поступа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поступа́ю
2nd Sing,поступа́ешь
3rd Sing,поступа́ет
1st Pl,поступа́ем
2nd Pl,поступа́ете
3rd Pl,поступа́ют
Past M,поступа́л
Past F,поступа́ла
Past N,поступа́ло
Past PL,поступа́ли
Imp S,поступа́й
Imp PL,поступа́йте
