Infinitive,похва́статься
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,похва́ставшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похва́ставшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,похва́стаюсь
2nd Sing,похва́стаешься
3rd Sing,похва́стается
1st Pl,похва́стаемся
2nd Pl,похва́стаетесь
3rd Pl,похва́стаются
Past M,похва́стался
Past F,похва́сталась
Past N,похва́сталось
Past PL,похва́стались
Imp S,похва́стайся
Imp PL,похва́стайтесь
