Infinitive,покури́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покури́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поку́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покури́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покури́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покурю́
2nd Sing,поку́ришь
3rd Sing,поку́рит
1st Pl,поку́рим
2nd Pl,поку́рите
3rd Pl,поку́рят
Past M,покури́л
Past F,покури́ла
Past N,покури́ло
Past PL,покури́ли
Imp S,покури́
Imp PL,покури́те
