Infinitive,поту́питься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поту́пившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поту́пившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поту́плюсь
2nd Sing,поту́пишься
3rd Sing,поту́пится
1st Pl,поту́пимся
2nd Pl,поту́питесь
3rd Pl,поту́пятся
Past M,поту́пился
Past F,поту́пилась
Past N,поту́пилось
Past PL,поту́пились
Imp S,поту́пься
Imp PL,поту́пьтесь
