Infinitive,повзросле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повзросле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повзросле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повзросле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повзросле́ю
2nd Sing,повзросле́ешь
3rd Sing,повзросле́ет
1st Pl,повзросле́ем
2nd Pl,повзросле́ете
3rd Pl,повзросле́ют
Past M,повзросле́л
Past F,повзросле́ла
Past N,повзросле́ло
Past PL,повзросле́ли
Imp S,повзросле́й
Imp PL,повзросле́йте
