Infinitive,пои́грывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пои́грывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пои́грывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пои́грывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пои́грывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пои́грывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пои́грываю
2nd Sing,пои́грываешь
3rd Sing,пои́грывает
1st Pl,пои́грываем
2nd Pl,пои́грываете
3rd Pl,пои́грывают
Past M,пои́грывал
Past F,пои́грывала
Past N,пои́грывало
Past PL,пои́грывали
Imp S,пои́грывай
Imp PL,пои́грывайте
