Infinitive,показа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,показа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,показа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покажу́сь
2nd Sing,пока́жешься
3rd Sing,пока́жется
1st Pl,пока́жемся
2nd Pl,пока́жетесь
3rd Pl,пока́жутся
Past M,показа́лся
Past F,показа́лась
Past N,показа́лось
Past PL,показа́лись
Imp S,покажи́сь
Imp PL,покажи́тесь
