Infinitive,подоспе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подоспе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подоспе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подоспе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подоспе́ю
2nd Sing,подоспе́ешь
3rd Sing,подоспе́ет
1st Pl,подоспе́ем
2nd Pl,подоспе́ете
3rd Pl,подоспе́ют
Past M,подоспе́л
Past F,подоспе́ла
Past N,подоспе́ло
Past PL,подоспе́ли
Imp S,подоспе́й
Imp PL,подоспе́йте
