Infinitive,повелева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повелева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,повелева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повелева́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,повелева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,повелева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,повелева́ю
2nd Sing,повелева́ешь
3rd Sing,повелева́ет
1st Pl,повелева́ем
2nd Pl,повелева́ете
3rd Pl,повелева́ют
Past M,повелева́л
Past F,повелева́ла
Past N,повелева́ло
Past PL,повелева́ли
Imp S,повелева́й
Imp PL,повелева́йте
