Infinitive,повеселе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повеселе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повеселе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повеселе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повеселе́ю
2nd Sing,повеселе́ешь
3rd Sing,повеселе́ет
1st Pl,повеселе́ем
2nd Pl,повеселе́ете
3rd Pl,повеселе́ют
Past M,повеселе́л
Past F,повеселе́ла
Past N,повеселе́ло
Past PL,повеселе́ли
Imp S,повеселе́й
Imp PL,повеселе́йте
