Infinitive,понра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,понра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,понра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,понра́влюсь
2nd Sing,понра́вишься
3rd Sing,понра́вится
1st Pl,понра́вимся
2nd Pl,понра́витесь
3rd Pl,понра́вятся
Past M,понра́вился
Past F,понра́вилась
Past N,понра́вилось
Past PL,понра́вились
Imp S,понра́вься
Imp PL,понра́вьтесь
