Infinitive,поду́мывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поду́мывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поду́мывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поду́мывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поду́мывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поду́мывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поду́мываю
2nd Sing,поду́мываешь
3rd Sing,поду́мывает
1st Pl,поду́мываем
2nd Pl,поду́мываете
3rd Pl,поду́мывают
Past M,поду́мывал
Past F,поду́мывала
Past N,поду́мывало
Past PL,поду́мывали
Imp S,поду́мывай
Imp PL,поду́мывайте
