Infinitive,посме́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посме́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,посме́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посме́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,посме́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посме́иваюсь
2nd Sing,посме́иваешься
3rd Sing,посме́ивается
1st Pl,посме́иваемся
2nd Pl,посме́иваетесь
3rd Pl,посме́иваются
Past M,посме́ивался
Past F,посме́ивалась
Past N,посме́ивалось
Past PL,посме́ивались
Imp S,посме́ивайся
Imp PL,посме́ивайтесь
