Infinitive,победи́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,победи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побеждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,победи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,победи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
2nd Sing,победи́шь
3rd Sing,победи́т
1st Pl,победи́м
2nd Pl,победи́те
3rd Pl,победя́т
Past M,победи́л
Past F,победи́ла
Past N,победи́ло
Past PL,победи́ли
Imp S,победи́
Imp PL,победи́те
