Infinitive,поба́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поба́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поба́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поба́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поба́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поба́иваюсь
2nd Sing,поба́иваешься
3rd Sing,поба́ивается
1st Pl,поба́иваемся
2nd Pl,поба́иваетесь
3rd Pl,поба́иваются
Past M,поба́ивался
Past F,поба́ивалась
Past N,поба́ивалось
Past PL,поба́ивались
Imp S,поба́ивайся
Imp PL,поба́ивайтесь
