Infinitive,подбро́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подбро́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подбро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подбро́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подбро́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подбро́шу
2nd Sing,подбро́сишь
3rd Sing,подбро́сит
1st Pl,подбро́сим
2nd Pl,подбро́сите
3rd Pl,подбро́сят
Past M,подбро́сил
Past F,подбро́сила
Past N,подбро́сило
Past PL,подбро́сили
Imp S,подбро́сь
Imp PL,подбро́сьте
