Infinitive,подсмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подсмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подсмотрю́
2nd Sing,подсмо́тришь
3rd Sing,подсмо́трит
1st Pl,подсмо́трим
2nd Pl,подсмо́трите
3rd Pl,подсмо́трят
Past M,подсмотре́л
Past F,подсмотре́ла
Past N,подсмотре́ло
Past PL,подсмотре́ли
Imp S,подсмотри́
Imp PL,подсмотри́те
