Infinitive,покра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покра́шу
2nd Sing,покра́сишь
3rd Sing,покра́сит
1st Pl,покра́сим
2nd Pl,покра́сите
3rd Pl,покра́сят
Past M,покра́сил
Past F,покра́сила
Past N,покра́сило
Past PL,покра́сили
Imp S,покра́сь
Imp PL,покра́сьте
