Infinitive,помири́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помири́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помири́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помирю́сь
2nd Sing,помири́шься
3rd Sing,помири́тся
1st Pl,помири́мся
2nd Pl,помири́тесь
3rd Pl,помиря́тся
Past M,помири́лся
Past F,помири́лась
Past N,помири́лось
Past PL,помири́лись
Imp S,помири́сь
Imp PL,помири́тесь
