Infinitive,побе́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побе́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побе́гав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побе́гавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побе́гаю
2nd Sing,побе́гаешь
3rd Sing,побе́гает
1st Pl,побе́гаем
2nd Pl,побе́гаете
3rd Pl,побе́гают
Past M,побе́гал
Past F,побе́гала
Past N,побе́гало
Past PL,побе́гали
Imp S,побе́гай
Imp PL,побе́гайте
