Infinitive,похороше́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,похороше́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похороше́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,похороше́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,похороше́ю
2nd Sing,похороше́ешь
3rd Sing,похороше́ет
1st Pl,похороше́ем
2nd Pl,похороше́ете
3rd Pl,похороше́ют
Past M,похороше́л
Past F,похороше́ла
Past N,похороше́ло
Past PL,похороше́ли
Imp S,похороше́й
Imp PL,похороше́йте
