Infinitive,потесни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потесни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потесни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потесню́сь
2nd Sing,потесни́шься
3rd Sing,потесни́тся
1st Pl,потесни́мся
2nd Pl,потесни́тесь
3rd Pl,потесня́тся
Past M,потесни́лся
Past F,потесни́лась
Past N,потесни́лось
Past PL,потесни́лись
Imp S,потесни́сь
Imp PL,потесни́тесь
