Infinitive,подстри́чь
Zaliznyak Class,8b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подстри́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подстри́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подстри́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подстригу́
2nd Sing,подстрижёшь
3rd Sing,подстрижёт
1st Pl,подстрижём
2nd Pl,подстрижёте
3rd Pl,подстригу́т
Past M,подстри́г
Past F,подстри́гла
Past N,подстри́гло
Past PL,подстри́гли
Imp S,подстриги́
Imp PL,подстриги́те
