Infinitive,подкупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подкупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подку́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подкупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подкуплю́
2nd Sing,подку́пишь
3rd Sing,подку́пит
1st Pl,подку́пим
2nd Pl,подку́пите
3rd Pl,подку́пят
Past M,подкупи́л
Past F,подкупи́ла
Past N,подкупи́ло
Past PL,подкупи́ли
Imp S,подкупи́
Imp PL,подкупи́те
