Infinitive,потра́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потра́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потра́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потра́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потра́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потра́чу
2nd Sing,потра́тишь
3rd Sing,потра́тит
1st Pl,потра́тим
2nd Pl,потра́тите
3rd Pl,потра́тят
Past M,потра́тил
Past F,потра́тила
Past N,потра́тило
Past PL,потра́тили
Imp S,потра́ть
Imp PL,потра́тьте
