Infinitive,потеря́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потеря́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поте́рянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потеря́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потеря́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потеря́ю
2nd Sing,потеря́ешь
3rd Sing,потеря́ет
1st Pl,потеря́ем
2nd Pl,потеря́ете
3rd Pl,потеря́ют
Past M,потеря́л
Past F,потеря́ла
Past N,потеря́ло
Past PL,потеря́ли
Imp S,потеря́й
Imp PL,потеря́йте
