Infinitive,поколеба́ть
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поколеба́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поколе́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поколеба́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поколеба́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поколе́блю
2nd Sing,поколе́блешь
3rd Sing,поколе́блет
1st Pl,поколе́блем
2nd Pl,поколе́блете
3rd Pl,поколе́блют
Past M,поколеба́л
Past F,поколеба́ла
Past N,поколеба́ло
Past PL,поколеба́ли
Imp S,поколе́бли
Imp PL,поколе́блите
