Infinitive,потанцева́ть
Zaliznyak Class,2a(-о-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потанцева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потанцо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потанцева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потанцева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потанцу́ю
2nd Sing,потанцу́ешь
3rd Sing,потанцу́ет
1st Pl,потанцу́ем
2nd Pl,потанцу́ете
3rd Pl,потанцу́ют
Past M,потанцева́л
Past F,потанцева́ла
Past N,потанцева́ло
Past PL,потанцева́ли
Imp S,потанцу́й
Imp PL,потанцу́йте
