Infinitive,покопа́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покопа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покопа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покопа́юсь
2nd Sing,покопа́ешься
3rd Sing,покопа́ется
1st Pl,покопа́емся
2nd Pl,покопа́етесь
3rd Pl,покопа́ются
Past M,покопа́лся
Past F,покопа́лась
Past N,покопа́лось
Past PL,покопа́лись
Imp S,покопа́йся
Imp PL,покопа́йтесь
