Infinitive,поги́бнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поги́бший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поги́бши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поги́бну
2nd Sing,поги́бнешь
3rd Sing,поги́бнет
1st Pl,поги́бнем
2nd Pl,поги́бнете
3rd Pl,поги́бнут
Past M,поги́б
Past F,поги́бла
Past N,поги́бло
Past PL,поги́бли
Imp S,поги́бни
Imp PL,поги́бните
