Infinitive,постанови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,постанови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постано́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,постанови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,постанови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,постановлю́
2nd Sing,постано́вишь
3rd Sing,постано́вит
1st Pl,постано́вим
2nd Pl,постано́вите
3rd Pl,постано́вят
Past M,постанови́л
Past F,постанови́ла
Past N,постанови́ло
Past PL,постанови́ли
Imp S,постанови́
Imp PL,постанови́те
