Infinitive,поруга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поруга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пору́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поруга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поруга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поруга́ю
2nd Sing,поруга́ешь
3rd Sing,поруга́ет
1st Pl,поруга́ем
2nd Pl,поруга́ете
3rd Pl,поруга́ют
Past M,поруга́л
Past F,поруга́ла
Past N,поруга́ло
Past PL,поруга́ли
Imp S,поруга́й
Imp PL,поруга́йте
