Infinitive,повыша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повыша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,повыша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повыша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,повыша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повыша́юсь
2nd Sing,повыша́ешься
3rd Sing,повыша́ется
1st Pl,повыша́емся
2nd Pl,повыша́етесь
3rd Pl,повыша́ются
Past M,повыша́лся
Past F,повыша́лась
Past N,повыша́лось
Past PL,повыша́лись
Imp S,повыша́йся
Imp PL,повыша́йтесь
