Infinitive,подде́рживать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подде́рживающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подде́рживавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подде́рживаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подде́рживая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подде́рживав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подде́рживавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подде́рживаю
2nd Sing,подде́рживаешь
3rd Sing,подде́рживает
1st Pl,подде́рживаем
2nd Pl,подде́рживаете
3rd Pl,подде́рживают
Past M,подде́рживал
Past F,подде́рживала
Past N,подде́рживало
Past PL,подде́рживали
Imp S,подде́рживай
Imp PL,подде́рживайте
