Infinitive,посади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посажу́
2nd Sing,поса́дишь
3rd Sing,поса́дит
1st Pl,поса́дим
2nd Pl,поса́дите
3rd Pl,поса́дят
Past M,посади́л
Past F,посади́ла
Past N,посади́ло
Past PL,посади́ли
Imp S,посади́
Imp PL,посади́те
