Infinitive,попо́лнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попо́лнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попо́лненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попо́лнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попо́лнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попо́лню
2nd Sing,попо́лнишь
3rd Sing,попо́лнит
1st Pl,попо́лним
2nd Pl,попо́лните
3rd Pl,попо́лнят
Past M,попо́лнил
Past F,попо́лнила
Past N,попо́лнило
Past PL,попо́лнили
Imp S,попо́лни
Imp PL,попо́лните
