Infinitive,поразмы́слить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поразмы́сливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поразмы́слив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поразмы́сливши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поразмы́слю
2nd Sing,поразмы́слишь
3rd Sing,поразмы́слит
1st Pl,поразмы́слим
2nd Pl,поразмы́слите
3rd Pl,поразмы́слят
Past M,поразмы́слил
Past F,поразмы́слила
Past N,поразмы́слило
Past PL,поразмы́слили
Imp S,поразмы́сли
Imp PL,поразмы́слите
