Infinitive,попа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,попа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,попаду́
2nd Sing,попадёшь
3rd Sing,попадёт
1st Pl,попадём
2nd Pl,попадёте
3rd Pl,попаду́т
Past M,попа́л
Past F,попа́ла
Past N,попа́ло
Past PL,попа́ли
Imp S,попади́
Imp PL,попади́те
