Infinitive,полоска́ть
Zaliznyak Class,6c // 1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поло́щущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,полоска́ющий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,полоска́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,полоска́емый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,поло́сканный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,полоща́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,short
PART:6:Participle Text,полоска́я
PART:6:Participle Type,adverbial
PART:6:Participle Tense,present
PART:6:Participle Long or Short,long
PART:7:Participle Text,полоска́в
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,short
PART:8:Participle Text,полоска́вши
PART:8:Participle Type,adverbial
PART:8:Participle Tense,past
PART:8:Participle Long or Short,long
1st Sing,полощу́
2nd Sing,поло́щешь
3rd Sing,поло́щет
1st Pl,поло́щем
2nd Pl,поло́щете
3rd Pl,поло́щут
Past M,полоска́л
Past F,полоска́ла
Past N,полоска́ло
Past PL,полоска́ли
Imp S,полощи́
Imp PL,полощи́те
