Infinitive,посторони́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посторони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посторони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,постороню́сь
2nd Sing,посторони́шься
3rd Sing,посторони́тся
1st Pl,посторони́мся
2nd Pl,посторони́тесь
3rd Pl,постороня́тся
Past M,посторони́лся
Past F,посторони́лась
Past N,посторони́лось
Past PL,посторони́лись
Imp S,посторони́сь
Imp PL,посторони́тесь
