Infinitive,поколеба́ться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поколеба́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поколеба́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поколе́блюсь
2nd Sing,поколе́блешься
3rd Sing,поколе́блется
1st Pl,поколе́блемся
2nd Pl,поколе́блетесь
3rd Pl,поколе́блются
Past M,поколеба́лся
Past F,поколеба́лась
Past N,поколеба́лось
Past PL,поколеба́лись
Imp S,поколе́блись
Imp PL,поколе́блитесь
