Infinitive,подпада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подпада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подпада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подпада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подпада́ю
2nd Sing,подпада́ешь
3rd Sing,подпада́ет
1st Pl,подпада́ем
2nd Pl,подпада́ете
3rd Pl,подпада́ют
Past M,подпада́л
Past F,подпада́ла
Past N,подпада́ло
Past PL,подпада́ли
Imp S,подпада́й
Imp PL,подпада́йте
