Infinitive,поразмышля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поразмышля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поразмышля́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поразмышля́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поразмышля́ю
2nd Sing,поразмышля́ешь
3rd Sing,поразмышля́ет
1st Pl,поразмышля́ем
2nd Pl,поразмышля́ете
3rd Pl,поразмышля́ют
Past M,поразмышля́л
Past F,поразмышля́ла
Past N,поразмышля́ло
Past PL,поразмышля́ли
Imp S,поразмышля́й
Imp PL,поразмышля́йте
